model,timestamp,song,artist,genres
anthropic/claude-3-haiku,20241121160802,Somewhere Only We Know,Keane,Unknown
anthropic/claude-3-haiku,20241121160802,Yellow,Coldplay,permanent wave; pop
anthropic/claude-3-haiku,20241121160802,Hallelujah,Jeff Buckley,melancholia; permanent wave; singer-songwriter
anthropic/claude-3-haiku,20241121160802,Dreams,Fleetwood Mac,album rock; classic rock; rock; soft rock; yacht rock
anthropic/claude-3-haiku,20241121160802,Bohemian Rhapsody,Queen,classic rock; glam rock; rock
anthropic/claude-3-haiku,20241121160802,To Build a Home,The Cinematic Orchestra,Unknown
anthropic/claude-3-haiku,20241121160802,Iris,Goo Goo Dolls,Unknown
anthropic/claude-3-haiku,20241121160802,Fix You,Coldplay,permanent wave; pop
anthropic/claude-3-haiku,20241121160802,Skinny Love,Bon Iver,chamber pop; eau claire indie; indie folk; melancholia; modern rock
anthropic/claude-3-haiku,20241121160802,Sound of Silence,Simon & Garfunkel,Unknown
anthropic/claude-3-haiku,20241121160805,Hallelujah,Jeff Buckley,melancholia; permanent wave; singer-songwriter
anthropic/claude-3-haiku,20241121160805,Imagine,John Lennon,classic rock; rock
anthropic/claude-3-haiku,20241121160805,Karma Police,Radiohead,alternative rock; art rock; melancholia; oxford indie; permanent wave; rock
anthropic/claude-3-haiku,20241121160805,Lose Yourself,Eminem,Unknown
anthropic/claude-3-haiku,20241121160805,Redemption Song,Bob Marley,reggae; roots reggae
anthropic/claude-3-haiku,20241121160805,Smells Like Teen Spirit,Nirvana,grunge; permanent wave; rock
anthropic/claude-3-haiku,20241121160805,Stairway to Heaven,Led Zeppelin,album rock; classic rock; hard rock; rock
anthropic/claude-3-haiku,20241121160805,Tears in Heaven,Eric Clapton,album rock; blues rock; classic rock; electric blues; mellow gold; rock; singer-songwriter; soft rock
anthropic/claude-3-haiku,20241121160805,Viva la Vida,Coldplay,permanent wave; pop
anthropic/claude-3-haiku,20241121160805,Wonderwall,Oasis,beatlesque; britpop; madchester; permanent wave; rock
anthropic/claude-3-haiku,20241121160809,Imagine,John Lennon,classic rock; rock
anthropic/claude-3-haiku,20241121160809,Hallelujah,Jeff Buckley,melancholia; permanent wave; singer-songwriter
anthropic/claude-3-haiku,20241121160809,I Will Always Love You,Whitney Houston,Unknown
anthropic/claude-3-haiku,20241121160809,Stairway to Heaven,Led Zeppelin,album rock; classic rock; hard rock; rock
anthropic/claude-3-haiku,20241121160809,Smells Like Teen Spirit,Nirvana,grunge; permanent wave; rock
anthropic/claude-3-haiku,20241121160809,Bohemian Rhapsody,Queen,classic rock; glam rock; rock
anthropic/claude-3-haiku,20241121160809,Tears in Heaven,Eric Clapton,album rock; blues rock; classic rock; electric blues; mellow gold; rock; singer-songwriter; soft rock
anthropic/claude-3-haiku,20241121160809,Bittersweet Symphony,The Verve,Unknown
anthropic/claude-3-haiku,20241121160809,Numb,Linkin Park,Unknown
anthropic/claude-3-haiku,20241121160809,Wonderwall,Oasis,beatlesque; britpop; madchester; permanent wave; rock
anthropic/claude-3-haiku,20241121160814,Hallelujah,Jeff Buckley,melancholia; permanent wave; singer-songwriter
anthropic/claude-3-haiku,20241121160814,Imagine,John Lennon,classic rock; rock
anthropic/claude-3-haiku,20241121160814,Stronger (What Doesn't Kill You),Kelly Clarkson,Unknown
anthropic/claude-3-haiku,20241121160814,I'll Be Missing You,Puff Daddy ft. Faith Evans,Unknown
anthropic/claude-3-haiku,20241121160814,Titanium,David Guetta ft. Sia,Unknown
anthropic/claude-3-haiku,20241121160814,Losing My Religion,R.E.M.,Unknown
anthropic/claude-3-haiku,20241121160814,Redemption Song,Bob Marley,reggae; roots reggae
anthropic/claude-3-haiku,20241121160814,Everlong,Foo Fighters,alternative metal; alternative rock; modern rock; permanent wave; post-grunge; rock
anthropic/claude-3-haiku,20241121160814,Tears in Heaven,Eric Clapton,album rock; blues rock; classic rock; electric blues; mellow gold; rock; singer-songwriter; soft rock
anthropic/claude-3-haiku,20241121160814,You Raise Me Up,Josh Groban,Unknown
anthropic/claude-3-haiku,20241121160818,Imagine,John Lennon,classic rock; rock
anthropic/claude-3-haiku,20241121160818,Hallelujah,Jeff Buckley,melancholia; permanent wave; singer-songwriter
anthropic/claude-3-haiku,20241121160818,Bohemian Rhapsody,Queen,classic rock; glam rock; rock
anthropic/claude-3-haiku,20241121160818,Time,Pink Floyd,Unknown
anthropic/claude-3-haiku,20241121160818,Stairway to Heaven,Led Zeppelin,album rock; classic rock; hard rock; rock
anthropic/claude-3-haiku,20241121160818,Numb,Linkin Park,Unknown
anthropic/claude-3-haiku,20241121160818,Starry Night,Don McLean,Unknown
anthropic/claude-3-haiku,20241121160818,Weightless,Marconi Union,ambient
anthropic/claude-3-haiku,20241121160818,Hurt,Johnny Cash,arkansas country; outlaw country; rock
anthropic/claude-3-haiku,20241121160818,Fix You,Coldplay,permanent wave; pop
anthropic/claude-3-haiku,20241121160822,Hallelujah,Jeff Buckley,melancholia; permanent wave; singer-songwriter
anthropic/claude-3-haiku,20241121160822,Don't Dream It's Over,Crowded House,Unknown
anthropic/claude-3-haiku,20241121160822,Flaws,Bastille,Unknown
anthropic/claude-3-haiku,20241121160822,Fix You,Coldplay,permanent wave; pop
anthropic/claude-3-haiku,20241121160822,Unravel,TK from Ling Tosite Sigure,Unknown
anthropic/claude-3-haiku,20241121160822,Comfortably Numb,Pink Floyd,Unknown
anthropic/claude-3-haiku,20241121160822,Hurt,Johnny Cash,arkansas country; outlaw country; rock
anthropic/claude-3-haiku,20241121160822,Tears in Heaven,Eric Clapton,album rock; blues rock; classic rock; electric blues; mellow gold; rock; singer-songwriter; soft rock
anthropic/claude-3-haiku,20241121160822,Everlong,Foo Fighters,alternative metal; alternative rock; modern rock; permanent wave; post-grunge; rock
anthropic/claude-3-haiku,20241121160822,Creep,Radiohead,alternative rock; art rock; melancholia; oxford indie; permanent wave; rock
anthropic/claude-3-haiku,20241121160825,Kintsugi,Death Cab for Cutie,Unknown
anthropic/claude-3-haiku,20241121160825,Falling Slowly,"Glen Hansard, Markéta Irglová",Unknown
anthropic/claude-3-haiku,20241121160825,Hallelujah,Jeff Buckley,melancholia; permanent wave; singer-songwriter
anthropic/claude-3-haiku,20241121160825,Lover's Spit,Broken Social Scene,Unknown
anthropic/claude-3-haiku,20241121160825,Who Knew,P!nk,Unknown
anthropic/claude-3-haiku,20241121160825,Carolina in My Mind,James Taylor,Unknown
anthropic/claude-3-haiku,20241121160825,Tears in Heaven,Eric Clapton,album rock; blues rock; classic rock; electric blues; mellow gold; rock; singer-songwriter; soft rock
anthropic/claude-3-haiku,20241121160825,Blackbird,The Beatles,british invasion; classic rock; merseybeat; psychedelic rock; rock
anthropic/claude-3-haiku,20241121160825,Casimir Pulaski Day,Sufjan Stevens,Unknown
anthropic/claude-3-haiku,20241121160825,Midnight City,M83,Unknown
anthropic/claude-3-haiku,20241121160830,Hallelujah,Jeff Buckley,melancholia; permanent wave; singer-songwriter
anthropic/claude-3-haiku,20241121160830,Imagine,John Lennon,classic rock; rock
anthropic/claude-3-haiku,20241121160830,Starry Starry Night,Don McLean,Unknown
anthropic/claude-3-haiku,20241121160830,Time in a Bottle,Jim Croce,Unknown
anthropic/claude-3-haiku,20241121160830,Tears in Heaven,Eric Clapton,album rock; blues rock; classic rock; electric blues; mellow gold; rock; singer-songwriter; soft rock
anthropic/claude-3-haiku,20241121160830,The Sound of Silence,Simon & Garfunkel,Unknown
anthropic/claude-3-haiku,20241121160830,Landslide,Fleetwood Mac,album rock; classic rock; rock; soft rock; yacht rock
anthropic/claude-3-haiku,20241121160830,Vincent (Starry Starry Night),Don McLean,Unknown
